DOMAIN (L0),Code,SUB DOMAIN (L1),Code,CATEGORY (L2),Code,SUBCATEGORY (L3),Code,PRODUCT TYPE (L4),Product type Enum Codes,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image 1,Image 2,Image 3,Image 4 / Video 1,Image 5 / Video 2,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN / HSN / EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Feminine Hygiene,RET-13-11-10,Tampons,RET-13-11-10-13,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Feminine Hygiene,RET-13-11-10,Douche & Enema Products,RET-13-11-10-14,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Intimate Wash & Care,RET-13-11-11,Feminine Washes,RET-13-11-11-10,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Intimate Wash & Care,RET-13-11-11,Feminine Wipes,RET-13-11-11-11,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Intimate Wash & Care,RET-13-11-11,"Shaving Cream, Foams & Gels",RET-13-11-11-12,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Feminine Care,RET-13-11,Intimate Wash & Care,RET-13-11-11,Blades & Razors,RET-13-11-11-13,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Deodorants & Antiperspirants,RET-13-12-10,Antiperspirant Deodorant,RET-13-12-10-10,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Deodorants & Antiperspirants,RET-13-12-10,Antiperspirants,RET-13-12-10-11,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Deodorants & Antiperspirants,RET-13-12-10,Deodorant Sprays,RET-13-12-10-12,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Deodorants & Antiperspirants,RET-13-12-10,Deodorant Sticks,RET-13-12-10-13,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
