feature_name,Location,Filters,Selectable,Logical Group,Suggestive Enums,Variant,dtype
Insole,CLP,Y,Y,Group 5,Y,,Alpha
Sole Material,CLP,Y,Y,Group 5,Y,,Alpha
Toe Shape,CLP,Y,Y,Group 5,Y,,Alpha
Outsole,CLP,Y,Y,Group 5,Y,,Alpha
Fastening,CLP,Y,Y,Group 5,Y,,Alpha
Midsole,CLP,Y,Y,Group 5,Y,,Alpha
Closure Type,CLP,Y,Y,Group 5,Y,,Alpha
Base Metal,CLP,Y,Y,Group 5,Y,,Alpha
Plating,CLP,Y,Y,Group 5,Y,,Alpha
Stone Type,CLP,Y,Y,Group 5,Y,,Alpha
Gem Type,CLP,Y,Y,Group 5,Y,,Alpha
Strap Material,CLP,Y,Y,Group 5,Y,,Alpha
Buckle Type,CLP,Y,Y,Group 5,Y,,Alpha
Buckle Material,CLP,Y,Y,Group 5,Y,,Alpha
Dial Shape,CLP,Y,Y,Group 5,Y,,Alpha
Frame / Rim Type,CLP,Y,Y,Group 5,Y,,Alpha
Frame Shape,CLP,Y,Y,Group 5,Y,,Alpha
Frame Colour,CLP,Y,Y,Group 5,Y,,Alpha
Frame Size,CLP,Y,Y,Group 5,Y,,Alpha
Frame Material,CLP,Y,Y,Group 5,Y,,Alpha
Face Shape,CLP,Y,Y,Group 5,Y,,Alpha
Lens Material,CLP,Y,Y,Group 5,Y,,Alpha
Lens Colour,CLP,Y,Y,Group 5,Y,,Alpha
Compartment Closure,CLP,Y,Y,Group 5,Y,,Alpha
External Pocket,CLP,Y,Y,Group 5,N,,Numeric
Laptop Compartment,CLP,Y,Y,Group 5,Y,,Alpha
Laptop Size,CLP,Y,Y,Group 5,N,,AlphaNumeric
Shoulder Strap Type,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Volume [Ltrs.],CLP,Y,Y,Group 5,Y,,Numeric
Water Resistance,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Lock Type,CLP,Y,Y,Group 5,Y,,Alpha
Dead Weight,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Display,CLP,Y,Y,Group 5,Y,,Alpha
Glass Material,CLP,Y,Y,Group 5,Y,,Alpha
Strap Material,CLP,Y,Y,Group 5,Y,,Alpha
Warranty,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Battery Life,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Bluetooth,CLP,Y,Y,Group 5,Y,,Alpha
Call Function,CLP,Y,Y,Group 5,Y,,Alpha
Pedometer,CLP,Y,Y,Group 5,Y,,Alpha
Heart Rate Monitor,CLP,Y,Y,Group 5,Y,,Alpha
Sleep Monitor,CLP,Y,Y,Group 5,Y,,Alpha
SPO2 Monitor,CLP,Y,Y,Group 5,Y,,Alpha
