feature_name,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56,keyword57,keyword58,keyword59,keyword60,keyword61,keyword62,keyword63,keyword64,keyword65,keyword66,keyword67,keyword68,keyword69,keyword70,keyword71,keyword72,keyword73,keyword74,keyword75,keyword76,keyword77,keyword78,keyword79,keyword80,keyword81,keyword82,keyword83,keyword84,keyword85,keyword86,keyword87
Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 4 / Video 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 5 / Video 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Weight Unit of Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length x Breadth x Height (Cubic Cm.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTIN / HSN / EAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Winter,Summer,Autumn,Fall Winter,New Arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occasion,Formal,Casual,Party,Wedding,Semi-formal,Semi-casual,Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design / Style Type,Oxfords,Derbys,Bluchers,Loafers,Monks,Sneakers,Espadrilles,Loafers,Boat Shoes,Clogs,Flip-flops,Mules,Sandals,Slippers,Slip-ons,Moccasins,Running Shoes,Walking Shoes,Basketball Shoes,Baseball Shoes,Football Shoes,Soccer Shoes,Hockey Shoes,Lacrosse Shoes,Rugby Shoes,Vollyball Shoes,Training Shoes,Golf Shoes,Tennis Shoes,Cycling Shoes,Skateboarding Shoes,Chelsea Boots,Chuckka Boots,Derby Boots,Oxford Boots,Work Boots,Cowboy Boots,Mac Toe Boots,Jodhpur Boots,Combat Boots,Duck Boots,Engineer Boots,Balmoral Boots,Mukluk Boots,Riding Boots,Desert Boots,Service Boots,Hiking Shoes,Hunting Shoes,Mountaineering Shoes,Rain Shoes,Snow Shoes,Fire & Safety Shoes,Industrial & Construction Shoes,Military & Tactical Shoes,Mojari Shoes,Kolhapuris,Sandals,Flats,Mules,Slip-ons,Toe Cover,Invisible,Extra Low Cut,Low Cut,Quarter,Mid Calf,Over The Calf,Knee Length,Loose,Ove The Calf,Flat,Round,Braided,Flat Waxed,Raw Hide,Insole,Shoe Insert,Charms,Shoe Rack,Shoe Organiser,Brush,Wax Polish,Crème Polish,Liquid Polish,Conditioner,Mink Oil,Saddle Soap
Trend,Abstract,Geometric,Nautica,Animal,Indigo,Colour Block,Monochrome,Typography,Tribal,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern,Solid,Printed,Dyed,Tie-dyed,Painted,Textured,Checked,Striped,Colourblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,Basic,Pull Over,Three Buttoned,Flared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric,Cotton,Silk,Polyester,Wool,Jute,Nylon,Viscose,Linen,Rayon,Modal,Elastane,Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric Finish,Satin,Crepe,Merserised,Printed,Painted,Embroidered,Patchwork,Woven,Knitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material Finish,Embossed,Embroidered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Sale Quantity,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundles / Multipack Sets,Pack of 2,Pack of 3,Pack of 4,Pack of 5,Pack of 6,Pack of 7,Pack of 8,Pack of 9,Pack of 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit,Regular,Slim,Ultra Slim,Smart,Loose,Relax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collar,Button Down,Mandarin,Club,Spread,Slim,Peter Pan,Hood,Cutaway,Cuban,Wingtip,Built-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Boat,Cowl,Halter,Hanley,High,Polo,Round,Scoop,Turtle,V-Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve Length,Full Sleeve,Half Sleeve,Sleeveless,3/4th Sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Type,Running,Walking,Basketball,Baseball,Football,Soccer,Hockey,Lacrosse,Rugby,Vollyball,Training,Golf,Tennis,Cycling,Skateboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pockets,1,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reversible,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waist Rise,Low,High,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length,Long,Short,3/4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure Type,Button,Draw String,Foldover,Hook,Interlock,Lobster,S-Hook,Screw,Slip-on,Spring Ring,Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insole,Arch Support,Athletic,Comfort,Orthpedic,Rubber,Fur,Leather,Memory Foam,Padded,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sole Material,Crosslite,EVA,Rubber,Synthetic,TPR,Leather,Neolite,TPU,Tunit,PU,PVC,Phylon,Resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toe Shape,Pointed,Round,Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outsole,Marking,Non-marking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastening,Lace-up,Slip-on,Velcro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
