DOMAIN (L0),Code,SUB DOMAIN (L1),Code,CATEGORY (L2),Code,SUBCATEGORY (L3),Code,PRODUCT TYPE (L4),Product type Enum Codes,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to Ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image 1,Image 2,Image 3,Image 4 / Video 1,Image 5 / Video 2,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),Size Chart,GTIN / HSN / EAN,Season,Occasion,Design / Style Type,Trend,Pattern,Features,Fabric,Fabric Finish,Material Finish,Max Sale Quantity,Bundles / Multipack Sets,Fit,Collar,Neck,Sleeve Length,Sports Type,Pockets,Reversible,Lining,Waist Rise,Length,Insole,Sole Material,Toe Shape,Outsole,Fastening,Midsole,Closure Type,Base Metal,Plating,Stone Type,Gem Type,Strap Material,Buckle Type,Buckle Material,Dial Shape,Frame / Rim Type,Frame Shape,Frame Colour,Frame Size,Frame Material,Face Shape,Lens Material,Lens Colour,Compartment Closure,External Pocket,Laptop Compartment,Laptop Size,Shoulder Strap Type,Volume [Ltrs.],Water Resistance,Lock Type,Dead Weight,Display,Glass Material,Strap Material,Warranty,Battery Life,Bluetooth,Call Function,Pedometer,Heart Rate Monitor,Sleep Monitor,SPO2 Monitor,Dupatta Pattern,Kurta Pattern,Ornamentation,Coverage,Padding,Seam,Straps,Closure,Waist Band,Gender,Sustainability,Handcrafted,CraftMark
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,Innerwear & Thermals,RET-12-1C-10-1A,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,Nightwear & Loungewear,RET-12-1C-10-1B,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,School Uniform,RET-12-1C-10-1C,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,Rainwear,RET-12-1C-10-1D,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,Swimwear,RET-12-1C-10-1E,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1C,Boy's Clothing,RET-12-1C-10,Value Packs,RET-12-1C-10-1F,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Casual Shoes,RET-12-1D-10-10,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Flip-Flops & Flats,RET-12-1D-10-11,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Sandals & Floaters,RET-12-1D-10-12,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Formal Shoes,RET-12-1D-10-13,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Sports Shoes,RET-12-1D-10-14,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,OI,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,School Shoes,RET-12-1D-10-15,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Ethnic Shoes,RET-12-1D-10-16,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Footwear,RET-12-1D,Boy's Footwear,RET-12-1D-10,Socks,RET-12-1D-10-17,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,OI,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Clothing Sets,RET-12-1E-10-10,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Dresses,RET-12-1E-10-11,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Dungarees & Jumpsuits,RET-12-1E-10-12,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Ethnic Wear,RET-12-1E-10-13,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OI,OI,OI,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Innerwear & Thermals,RET-12-1E-10-14,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OI,OI,OI,OI,OI,OI,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,"Jacket, Sweater & Sweatshirts",RET-12-1E-10-15,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,OI,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,"Jeans, Trousers & Capris",RET-12-1E-10-16,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,OI,,,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Kurta Sets,RET-12-1E-10-17,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OI,OI,OI,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Lehenga Choli,RET-12-1E-10-18,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OI,OI,OI,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Nightwear & Loungewear,RET-12-1E-10-19,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Party Wear,RET-12-1E-10-1A,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OI,OI,OI,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Rainwear,RET-12-1E-10-1B,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,School Uniform,RET-12-1E-10-1C,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Shirts,RET-12-1E-10-1D,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Shorts & Skirts,RET-12-1E-10-1E,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Sleepwear,RET-12-1E-10-1F,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Swimwear,RET-12-1E-10-20,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Tights & Leggings,RET-12-1E-10-21,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,,,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,RET,Fashion,RET-12,Kid's Apparel,RET-12-1E,Girl's Clothing,RET-12-1E-10,Tops,RET-12-1E-10-22,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,MI,OI,OI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,OI,OI,OI,OI,,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
