DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Kid's Eyewear,Eyewear,Contact Lens Cases,Lens Cases For Contact Lenses,Contact Lenses Case,Travel Contact Lens Case Box With Mirror,Mini Simple Contact Lens,Mini Simple Contact Lens Travel Case Box,Contact Lens Holder,Multicolour Contact Lens Containers,Leak Proof Contact Lens Case,"Leakproof, Potable Lens Box",Lens Box For Travel,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Contact Lens Solutions,Contact Lens Solutions Small,Contact Lens Solutions Travel Kit,Comfort Contact Lens Solution 120Ml,Aquasoft Multipurpose Solution,Gp Fresh Hydra One Step Multi-Action Solution,Colorblends Contact Lens With Lens Case And Solution,,,,,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Contact Lens Twizzers,Contact Lens Applicator And Tweezers,Contact Lenses For Men,Contact Lenses With Tweezer,Mirror Bottle Tweezers Contact Applicator,Box Container Holder With Tweezers,Kit Mirror Tweezers,,,,,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Eyeglasses Pouches & Cases,Unisex Hard Shell Protective Case,Case Soft Pouch For Sunglass Eyeglass,Sunglasses Pouch,Leather Glasses Case,Zippered Neoprene Sunglasses Pouch,Eye Glasses Box Holder,Zipper Sunglasses Pouch,Sunglasses Bag,,,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Microfiber Wipes,Microfiber Wipes For Kitchen Cleaning,Microfiber Wipes For Kitchen,Wipes Microfiber Cloth,Microfiber Multipurpose Wipe,Table Tops And Glass Wipe,Microfiber And Pva Cloth,Sponge Wipe,,,,,,,,
Retail,Fashion,Kid's Eyewear,Eyewear,Eyewear Slings,Eyewear Sling Women,Eyewear Sling Men,Eyewear Sling Women,Eyewear Sling Boys,Eyewear Sling,Spectacle Chain,Lanyard String For Eyewear Frames,Chain Evil Eye,Chain Lanyard String For Eyewear Frames,Neck Strap String Chain,Chain For Specs,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Backpacks,Backpacks For Women,Backpacks For Men,Backpacks For Girls,Backpacks For College,Backpacks Casual,Backpacks Women,Backpacks Laptop,Casual Backpack With Usb Charging Port,Travel Backpack,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Utility Bags,Utility Bags For Women,Utility Bags For Storage,Utility Bags For Men,Utility Bags For Travel,Utility Bags For Clothes,Utility Bags For Women Travel,Utility Bags For Kids,Utility Bags Boys,Utility Bags Girls,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Duffle Bags,Travel Duffle,Duffle Bag,Duffle Bag For Travel,Wheel Duffle Bag For Travel,Duffle Trolly Bag,Travel Bag With Trolley,Duffle Bags For Women,Duffle Bags For Men,Duffle Bags Medium,Duffle Bags 2 Wheels,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Gym Bags,Gym Bags For Men,Gym Bags For Women,Gym Bags For Men Big Size,Duffle Bag For Gym,Sports Gym Duffel Bag,Duffle Backpack For Men,Trinity Gym Duffel,,,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Handbags,Handbags For Women,Handbags Leather,Handbags Small,Handbags For Girls,Handbags Women,Handbags For Women Latest,Handbags Shoulder Hobo Bag,Ladies Purse Handbag,Large Satchel Bag,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Laptop Bags,Laptop Bags For Men,Laptop Bags For Women,Laptop Bags 15.6 Inch,Laptop Bags For Girls,Office Laptop Bags,Bussiness Laptop Bags,Casual Waterproof Laptop Backpack,Travel Backpack,Office Laptop Backpacks,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Sleeves & Cases,Laptop Bag Sleeve Case,Laptop Bag Sleeve Case Cover,Laptop Bag Sleeve Case Cover Pouch,Laptop Bag Sleeve Case 14 Inch,Laptop Bag Sleeve Case 15.6 Inch,Laptop Bag Sleeve Case 12 Inch,Computer Cover Bag,Plastic Body Luggage,Laptop Sleeve Case Cover,Mackbook Pouch Case Cover,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,"Trolley, Luggage & Suitcases",Trolley Bags For Travel,Trolley Bags,Trolley Bags 4 Wheels,Luggage Bags,Luggage Bags For Travel,Luggage Trolley,Suitcases 4 Wheels,Suitcases Large,Suitcases For Kids,Suitcases With Trolley Large Size,Travel Suitcase For Men,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Messenger Bags,Messenger Bags For Men,Messenger Bags For Women,Messenger Bags For Men Leather,Messenger Bags Leather,Messenger Bags For Girls,Messenger Bags For Men Small,Messenger Bags,Business Messenger Bags,Messenger Office Bag,,,,,,
Retail,Fashion,Kid's Bags & Luggage,Bags & Luggage,Outdoor,Outdoor Bags For Men,Bags For Women,Bags For Women Travel,Bag For Men,Bag For Men Backpack,Bags For Travelling,Bags For Travelling For Luggage,Bags For Boys,Bags For Mens Travel,,,,,,
