L3	L4	product_name	L2
Topwear	Shirts	Men Floral Printed Casual Cotton Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Woven design Checked Kurta with Pyjamas	Men's Apparel
Topwear	Shirts	Men White Comfort Checked Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Maroon Printed Round Neck Cotton T-shirt	Men's Apparel
Topwear	T Shirts	Men Blue Polo Collar T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Floral Printed Pure Cotton Kurta With Churidar Pant	Men's Apparel
Topwear	Shirts	Men Rust Pure Cotton Slim Fit Mandarin Collar Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Grey Melange Pure Cotton T-shirt	Men's Apparel
Topwear	Shirts	Men Blue Floral Printed Casual Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Yellow Comfort Fit Solid Straight Kurta	Men's Apparel
Topwear	T Shirts	Men Teal Blue Solid Round Neck T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Sea Green & Blue Solid Kurta Set & Nehru Jacket	Men's Apparel
Topwear	Shirts	Men Maroon Slim Fit Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Brown Formal Shirt	Men's Apparel
Topwear	Shirts	Men Blue & White Slim Fit Striped Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Blue & Grey Pure Cotton Classic Fit Checked Casual Shirt	Men's Apparel
Topwear	Shirts	Self-Design Slim Fit Pure Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Olive Green Checked Casual Shirt	Men's Apparel
Topwear	Shirts	Highlander Blue Faded Slim Fit Denim Casual Shirt	Men's Apparel
Topwear	Shirts	Men Teal Blue & White Regular Fit Printed Casual Sustainable Shirt	Men's Apparel
Topwear	T Shirts	Men White Brand Logo Detailed Solid Dri-FIT T-shirt	Men's Apparel
Topwear	Shirts	Men Navy Blue Relaxed Floral Printed Casual Shirt	Men's Apparel
Topwear	Shirts	Men White Regular Fit Solid Sustainable Casual Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Green & Black Solid Kurta with Patiala	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Navy Blue & White Geometric Printed Kurta	Men's Apparel
Topwear	Shirts	Men Black Solid Casual Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Printed Kurta with Pyjamas	Men's Apparel
Topwear	Shirts	Men Maroon Slim Fit Floral Printed Casual Cotton Shirt	Men's Apparel
Topwear	Shirts	Men Olive Green Slim Fit Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	The Lifestyle Co Men Green & White Printed Pure Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Red & Blue Tartan Checks Casual Shirt	Men's Apparel
